term,aliases,definition,related_terms
current offset,"60B2h, torque offset",A CANopen object that adds an offset to the current/torque command for feedforward compensation.,velocity offset; feedforward; torque
daisy chain,"daisy-chain, series wiring",A network wiring topology where devices are connected in series from one to the next commonly used with EtherCAT and POWERLINK.,EtherCAT; POWERLINK; network topology
DC Shunt,"shunt resistor (DC), calibrated resistor",A calibrated low value resistor used for measuring high currents or drawing excess voltage from power supplies.,shunt; regen; bus voltage; power supply
deadband,"dead band, dead zone",A configurable region around zero command where the drive output remains off to prevent dithering or oscillation at standstill.,AxCent; analog drive; command
Detent,"magnetic detent, motor detent",Favored and avoided points created by magnets in a motor; less detent means smoother operation.,cogging; torque ripple; BLDC
development board,"dev board, interface board",A PCB assembly that provides connectors and mounting for FlexPro embedded (PCB-mount) drives during prototyping.,machine embedded; PCB mount; FlexPro
DigiFlex,"DigiFlex Performance, DP, DZ, DV, DX series",AMC's family of digital servo drives available in panel and PCB mount configurations with multiple communication options.,FlexPro; AxCent; panel mount; PCB mount
digital input,"DI, programmable digital input",A configurable input on the drive that can be assigned functions such as enable/inhibit capture home switch or registration.,digital output; inhibit; capture; home switch; PDI
digital output,"DO, programmable digital output",A configurable output on the drive that can be assigned to indicate status conditions such as in-position or fault active.,digital input; fault; PLS; PDO (I/O)
DIP switch,"DIP SW, configuration switch",Small switches on the drive or interface card used to set hardware configuration such as baud rate node ID and current loop gains.,baud rate; node ID; current loop
Direct Drive,"direct-drive, DD",A motor directly coupled to the load with no gearing or transmission elements.,actuator; backlash; motor; torque constant
Directional Inhibit,"dir inhibit, positive inhibit, negative inhibit",A type of inhibit that disables motion in one direction to prevent end-stop crashes while allowing reverse power.,inhibit; digital input; limit switch
distributed clock,"DC, EtherCAT DC sync",An EtherCAT synchronization mechanism that aligns the internal clocks of all network devices for precise coordinated motion.,EtherCAT; SYNC; CSP; CSV
DriveWare,"DW, DriveWare software",AMC's legacy drive configuration and tuning software primarily used with DigiFlex Performance drives via RS232 or RS485.,ACE; scope; waveform generator; parameter
DS301,"CiA 301, CANopen application layer",The CiA standard defining the CANopen application layer and communication profile including NMT PDO SDO and SYNC services.,DS402; CANopen; CiA; object dictionary
DS402,"CiA 402, device profile for drives",The CiA standard defining the device profile for drives and motion control including state machine and modes of operation.,DS301; state machine; controlword; statusword; modes of operation
Dual Loop,"dual feedback, cascaded loop",A control scheme where velocity/torque feedback is on the motor (first loop) and position feedback is on the load (second loop) to increase accuracy and compensate for backlash.,auxiliary encoder; position loop; velocity loop; feedback; backlash
DVC,"DigiFlex Vehicle CANopen",A DigiFlex Performance drive variant designed specifically for vehicle applications with CANopen communication.,DigiFlex; vehicle; CANopen
DxM,"DigiFlex Extended Module",A DigiFlex PCB-mount drive variant supporting EtherCAT POWERLINK and other extended network protocols.,DigiFlex; PCB mount; EtherCAT; POWERLINK; XEnv
Eagle,"Eagle schematic editor",The graphical schematic editor used within Click&Move for creating and editing function block diagrams and UDFBs.,ClickMove; UDFB; FBD
EAN,"EtherCAT model suffix, -EAN",A DigiFlex Performance drive model suffix indicating the EtherCAT communication interface.,CAN; RA; DigiFlex; EtherCAT
EDS file,"Electronic Data Sheet, .eds",A standardized file describing a CANopen or EtherNet/IP device's communication parameters and supported objects for network configuration.,ESI; CANopen; EtherNet/IP; object dictionary
EEPROM,"Electrically Erasable Programmable Read Only Memory",Non-volatile memory that is electrically erasable and reprogrammable retaining data when powered off; used for storing drive parameters.,NVM; firmware; parameter; flash
Electronic Gearing,"e-gearing, electronic gear ratio",A technique where mechanical gears are replaced with electronic gearing so one motor follows another at fractional or multiple speeds.,encoder following; dual loop; contouring; master-slave
EM,"EtherCAT Model, -EM suffix",A FlexPro drive model suffix indicating the EtherCAT communication interface.,CM; IPM; RM; FlexPro; EtherCAT
EMCY,"emergency message, emergency object",A CANopen protocol message sent by a drive when a fault or error condition occurs containing an error code for diagnostics.,fault; CANopen; COB-ID; error code
emulated encoder,"encoder emulation, encoder output",A drive feature that generates incremental encoder-equivalent output signals derived from the motor feedback device.,encoder; feedback; divide-by
enable,"bridge enable, drive enable",The command or state that activates the drive power bridge allowing current to flow to the motor.,disable; inhibit; controlword; state machine
encoder,"incremental encoder, rotary encoder, quadrature encoder",A high precision feedback device giving position and velocity data with resolution ranging from hundreds to over a million counts per revolution.,hall sensors; resolver; BiSS-C; feedback; counts
Encoder Following,"encoder follow, master-slave encoder",A master-slave control scheme where a master encoder commands a second axis; useful for gantries and conveyors and combinable with electronic gearing.,electronic gearing; dual loop; encoder; master-slave
EnDat,"EnDat 2.1, EnDat 2.2",A bidirectional serial encoder interface from Heidenhain supporting absolute position data and diagnostic information.,BiSS-C; SSI; encoder; absolute encoder; feedback
ESI file,"EtherCAT Slave Information, .xml",An XML file describing an EtherCAT slave device's capabilities PDO mappings and communication parameters for network configuration.,EDS file; EtherCAT; XML; PDO mapping
EtherCAT,"Ethernet for Control Automation Technology",A high-performance real-time Ethernet-based fieldbus protocol supporting deterministic communication and distributed clocks.,POWERLINK; CANopen; daisy chain; CSP; distributed clock
EtherNet/IP,"Ethernet/IP, EIP, Ethernet Industrial Protocol",An industrial Ethernet protocol using TCP/IP and CIP for communication with PLCs such as Rockwell/Allen-Bradley controllers.,AOI; ladder logic; PLC; FlexPro; IPM
fault,"error, alarm, drive fault",A condition detected by the drive that indicates an abnormal operating state such as over-current over-voltage or feedback loss.,LED; EMCY; fault reset; troubleshooting
FBD,"Function Block Diagram, function block",A graphical programming method used in Click&Move where logic is built by connecting functional blocks in a schematic.,ClickMove; UDFB; Eagle; ladder
feedback,"motor feedback, position feedback",The measurement of the parameter being controlled that allows servo systems to compensate for errors.,encoder; resolver; hall sensors; BiSS-C; closed loop
Feedforward,"FF, feed-forward",A control technique that provides corrective action before a disturbance affects the output for proactive compensation.,acceleration feedforward; velocity feedforward; current offset; velocity offset
Ferrite,"ferrite core, suppression core, ferrite bead",A ceramic material with magnetic properties used in suppression cores for noise reduction on signal and power cables.,AC Line Filter; EMC; compliance; noise
FET,"Field Effect Transistor",An output power device used in PWM drives to switch current to the motor windings.,MOSFET; bridge; PWM; power stage
firmware,"drive firmware, FW",Programming permanently or semi-permanently stored in flash/EEPROM that retains data when powered off and can be updated.,NVM; parameter; DriveWare; ACE; EEPROM
FlexPro,"FE, FM, FD, FMP, FX series",AMC's latest family of high-performance digital servo drives available in embedded (PCB) panel and panel-with-IPM configurations.,DigiFlex; AxCent; EM; CM; IPM; RM
Floating Ground,"floating GND, ungrounded",A ground not referenced to earth ground which can create dangerous situations and requires isolation transformers before rectification.,grounding; safety; power supply
FoE,"File over EtherCAT",An EtherCAT mailbox protocol used for transferring files such as firmware updates between the EtherCAT master and slave devices.,EtherCAT; mailbox; firmware
foldback,"current foldback, peak current foldback, I2T protection",A drive protection feature that reduces the available current from peak to continuous level after exceeding the rated time-current threshold.,I2T; peak current; continuous current; thermal
Gain,"amplifier gain, system gain",A multiplier between input and output (output divided by input); unity gain when output equals input; units depend on application.,Kp; Ki; Kd; loop gain; tuning; bandwidth
gain set,"gain scheduling, parameter set",A stored set of control loop tuning parameters that can be switched between during operation for different load conditions.,auto-tune; PID; current loop; velocity loop
hall sensors,"halls, Hall effect sensors",Magnetic sensors mounted in a motor that provide coarse rotor position information for commutation typically with 60 or 120 degree spacing.,commutation; encoder; motor phase; BLDC
heartbeat,"heartbeat protocol, NMT heartbeat",A CANopen node monitoring mechanism where each device periodically sends a message to indicate it is alive and functioning.,NMT; watchdog; CANopen; boot-up
heatsink,"heat sink, thermal management",A metal component attached to the drive to dissipate heat generated during operation and maintain safe operating temperature.,thermal; continuous current; mounting; power dissipation
homing,"homing mode, home switch, reference point",A drive mode that moves the motor to a known reference position using switches or index pulses to establish an absolute position reference.,index pulse; home switch; digital input; modes of operation
I2T,"I-squared-T, current-time protection",A thermal protection algorithm that models drive and motor heating based on the integral of current squared over time to prevent overheating.,foldback; continuous current; peak current; thermal
index (motion),"index task, profiled move",A predefined motion move stored in the drive with parameters for position velocity acceleration and deceleration.,sequence; motion task; motion engine; jog
index pulse,"Z channel, marker pulse, encoder index",A once-per-revolution signal from an encoder used for homing and as an absolute reference within one revolution.,encoder; homing; emulated encoder
induction motor,"AC induction motor, ACIM, asynchronous motor",A three-phase AC motor without permanent magnets that requires vector control and a feedback device when used with AMC drives.,BLDC; motor type; vector control; brushless
Inhibit,"INH, enable/inhibit, hardware enable",A logic input that disables output power used for e-stops and detecting improper operation conditions.,enable; digital input; STO; disable; directional inhibit
Interpolate,"interpolation, linear interpolation",The process of calculating values between two intermediate points; linear connects with straight lines while 3rd order uses smooth curves.,PVT; contouring; motion engine
IPM,"Ethernet/IP Model, -IPM suffix",A FlexPro drive model suffix indicating the Ethernet/IP communication interface.,EM; CM; RM; FlexPro; EtherNet/IP
IR Compensation Mode,"IR comp, pseudo-velocity mode",A pseudo-velocity mode where motor velocity is estimated from terminal voltage and current; carries instability risk through positive feedback.,velocity mode; voltage mode; current mode; open loop
J1 jumper,"J1, zero ohm resistor",A zero ohm surface mount resistor on some drives that controls inhibit logic polarity; installation determines inhibit trigger polarity.,inhibit; DIP switch; configuration
jerk,"jerk limit, S-curve jerk",The rate of change of acceleration which when limited produces smooth S-curve motion profiles instead of trapezoidal ones.,S-curve; acceleration; trapezoidal; motion profile
jog,"jog mode, jog command",A drive function that commands a constant velocity in a specified direction for manual motor movement during setup or testing.,index; sequence; motion task; velocity
Kd,"derivative gain, D gain",The derivative component of a PID controller that effects damping on a system by producing output proportional to the rate of change of error.,Kp; Ki; PID; tuning; velocity loop
Ki,"integral gain, I gain",The integral component of a PID controller that eliminates steady-state error by accumulating the error signal over time.,Kp; Kd; PID; current loop; velocity loop
Kp,"proportional gain, P gain",The proportional component of a PID controller that produces output directly proportional to the current error signal.,Ki; Kd; PID; current loop; velocity loop
ladder logic,"ladder diagram, LD",A PLC programming language that resembles electrical relay diagrams used for controlling EtherNet/IP connected drives.,EtherNet/IP; PLC; AOI; rung
LED,"status LED, indicator LED",A light-emitting diode on the drive that indicates operating status through color and blink patterns (green=OK red=fault).,fault; troubleshooting; status
Legacy,"legacy product, discontinued",Older products that are no longer manufactured but may still be supported.,AxCent; DigiFlex; FlexPro
load inductance,"minimum load inductance, motor inductance",The inductance of the motor windings plus any external inductors which must meet the drive's minimum requirement for stable PWM operation.,inductive filter; PWM; motor; current loop
Loop Gain,"velocity loop gain, analog loop gain",Refers to the velocity loop gain on AMC analog drives.,gain; velocity loop; Kp; AxCent; tuning
machine embedded,"embedded drive, OEM integration",A FlexPro PCB-mount drive designed for integration directly onto a customer's PCB for OEM machine applications.,development board; PCB mount; FlexPro
mailbox,"EtherCAT mailbox, MBX",An EtherCAT communication channel for non-cyclic data exchange including CoE (CANopen over EtherCAT) and FoE protocols.,EtherCAT; FoE; CoE; SDO
modes of operation,"6060h, op mode",A CANopen/EtherCAT object that selects the drive's control mode such as profile position cyclic synchronous position velocity or torque.,CSP; CSV; CST; profile position; profile velocity; homing
Modbus,"Modbus RTU, Modbus TCP",A serial or TCP/IP communication protocol used for register-based read/write access to drive parameters.,RS485; communication; register; parameter
MOSFET,"Metal-Oxide Semiconductor Field-Effect Transistor",An output power device suitable for lower voltage/current PWM drives used in the drive's power stage.,FET; bridge; PWM; power stage
motion engine,"onboard motion, drive-side motion",The built-in motion controller in DigiFlex/FlexPro drives that can execute indexes sequences and programs without a host controller.,index; sequence; jog; homing; motion task
motor phase,"phase A/B/C, motor winding",One of the three power connections to a brushless motor that the drive energizes in sequence to produce rotation.,commutation; BLDC; phase order; motor wire
MTBF,"Mean Time Before Failure, mean time between failures",A measurement of expected reliability in millions of hours or years indicating the average operation duration before failure.,reliability; quality
Negative Logic,"negative true, active low",A convention where a true condition is indicated by lower voltage and false by higher voltage; opposite of positive logic.,positive logic; digital input; digital output; sinking/sourcing I/O
NMT,"Network Management, NMT protocol",A CANopen service that manages the communication state machine of network nodes including start stop and reset commands.,CANopen; state machine; boot-up; heartbeat; pre-operational
node ID,"node address, drive address, station address",A unique numeric identifier (typically 1-127 for CANopen) assigned to each device on a communication network.,COB-ID; baud rate; DIP switch; CANopen
Notch Filter,"anti-resonance filter, frequency notch",A filter that targets a specific frequency or range and removes it; useful for eliminating machine natural frequency vibrations.,velocity loop; gain set; auto-tune; resonance; bandwidth
NRE,"Non Recurring Engineering, Non Recurring Expense",A one-time development charge for custom drive design work.,OEM; custom; engineering
NVM,"non-volatile memory, flash",The drive's persistent storage where configuration parameters and tuning values are saved and retained after power-off.,parameter; firmware; save; store; EEPROM
object dictionary,"OD, CANopen dictionary",The structured database of all configurable parameters and process data in a CANopen or EtherCAT (CoE) device organized by index and sub-index.,CANopen; EtherCAT; SDO; PDO; parameter
Offset Potentiometer,"offset pot, balance pot",A potentiometer on analog drives that balances output to remove directional offset by commanding 0V reference.,balance pot; pot; analog drive; AxCent
Open Loop,"open-loop, OL",A system not relying on feedback for control that operates via timers or preset sequences without measuring output.,closed loop; feedback; open loop mode
Open Loop Mode,"open loop drive mode",A mode on analog drives where the output duty cycle is proportional to the input command similar to voltage mode with less regulation.,open loop; voltage mode; current mode; analog drive
Optocoupler,"opto-isolator, optical isolator",A device that uses an LED and phototransistor to achieve electrical isolation where the signal propagates optically without direct electrical path.,digital input; digital output; isolation; noise
Over Damped,"overdamped, over-damped",A step response that is very slow with no overshoot occurring when the damping ratio is greater than 1; results in sluggish performance.,critically damped; under damped; tuning; bandwidth
over-voltage,"OV, bus over-voltage, DC bus over-voltage",A fault condition triggered when the DC bus voltage exceeds the drive's maximum rated voltage typically caused by motor regeneration.,bus voltage; shunt; regen; fault; under-voltage
PAI,"Programmable Analog Input",A configurable analog input assignable to functions such as commanded torque speed position or current limit.,PAO; analog input; configuration; parameter
PAO,"Programmable Analog Output",A configurable analog output assignable to indicate conditions such as output current motor speed position or temperature.,PAI; analog output; configuration; parameter
panel mount,"panel-mount, rack mount, DIN rail",A drive form factor with integrated connectors and housing designed for mounting in an electrical cabinet or panel.,PCB mount; DigiFlex; FlexPro; mounting
parameter,"drive parameter, object, register",A configurable value stored in the drive that controls its behavior such as current limits loop gains and I/O assignments.,object dictionary; NVM; DriveWare; ACE
PCB mount,"PCB-mount, embedded mount, board-mount",A drive form factor designed to be soldered or socketed directly onto a printed circuit board for embedded OEM applications.,panel mount; machine embedded; development board; DigiFlex; FlexPro
PDI,"Programmable Digital Input",A configurable digital input assignable to functions such as inhibit home reset fault or registration.,digital input; PDO (I/O); configuration; parameter
PDO,"Process Data Object",A CANopen/EtherCAT mechanism for real-time cyclic exchange of process data (commands and feedback) without protocol overhead.,RPDO; TPDO; PDO mapping; CANopen; EtherCAT
PDO mapping,"PDO assignment, PDO configuration",The process of assigning specific object dictionary entries to PDO communication channels to define what data is exchanged cyclically.,PDO; RPDO; TPDO; object dictionary
Peak current,"max current, instantaneous current, peak",The maximum output current a drive can deliver for a limited time (typically about 1 second) before foldback reduces it to continuous rating; typically twice the continuous rating.,continuous current; foldback; I2T
PID,"PID controller, proportional-integral-derivative",A control algorithm used in current velocity and position loops that combines proportional integral and derivative actions to minimize error.,Kp; Ki; Kd; current loop; velocity loop; position loop
PLC,"Programmable Logic Controller",An industrial controller that coordinates servo drives via fieldbus networks such as EtherCAT EtherNet/IP or CANopen.,EtherCAT; EtherNet/IP; CANopen; ladder logic; AOI
PLS,"Programmable Limit Switch",A drive feature that toggles a digital output at configurable position thresholds for triggering external equipment during motion.,digital output; position; homing; registration
Position Loop,"position controller, outer loop",The outermost control loop that regulates motor/system position using encoder feedback and compensates for position errors by applying additional torque.,velocity loop; current loop; PID; feedback; encoder
Positive Logic,"positive true, active high",A convention where a true condition is indicated by higher voltage and false by lower voltage; standard in 0-5V systems.,negative logic; digital input; digital output; sinking/sourcing I/O
Pot,"potentiometer",A device using a variable resistor to control voltage output; commonly used for reference gain balance and offset adjustments on analog drives.,balance pot; offset potentiometer; current limit potentiometer; reference gain
POWERLINK,"Ethernet POWERLINK, EPL",An open-source real-time Ethernet protocol providing deterministic cyclic communication for multi-axis servo systems.,EtherCAT; CANopen; daisy chain; DxM
Power Supply,"PSU, supply, DC supply",A source that supplies voltage and current to the drive.,bus voltage; bus; under-voltage; over-voltage
pre-operational,"pre-op, NMT pre-operational",A CANopen network state in which only NMT and SDO messages are allowed while PDO communication is disabled.,NMT; operational; state machine; SDO
profile position,"PP mode, profile position mode",A CANopen/EtherCAT mode where the drive internally profiles a move to a target position using configured acceleration and velocity limits.,profile velocity; modes of operation; trapezoidal; S-curve
profile velocity,"PV mode, profile velocity mode",A CANopen/EtherCAT mode where the drive internally profiles acceleration to a target velocity using configured limits.,profile position; modes of operation; trapezoidal; jog
PVT,"Position Velocity Time, interpolated position",A motion mode where the host sends position-velocity-time points that the drive interpolates between for smooth trajectory following; greatly reduces network traffic.,interpolate; motion engine; CANopen; trajectory
PWM,"Pulse Width Modulation",A switching technique that controls motor current by changing the duty cycle to adjust output voltage and current at high frequency.,bridge; current loop; switching frequency; FET; MOSFET
Quiescent Power,"standby consumption, idle power",The amount of power consumed when a drive is turned on but disabled powering only drive logic; relevant for battery-powered systems.,standby power; power supply; vehicle drive
quick stop,"QS, quick stop active",A controlled deceleration mode triggered by the controlword or a digital input that brings the motor to a rapid stop.,controlword; state machine; disable; deceleration
RA,"RS485/RS232 model suffix, -RA",A DigiFlex Performance drive model suffix indicating the RS232/RS485 serial communication interface.,EAN; CAN; DigiFlex; RS485; RS232
Reference Gain,"ref gain, reference gain pot",The first gain stage after the reference/command input that adjusts overall amplifier gain on AMC analog drives.,gain; pot; analog input; AxCent
regen,"regeneration, regenerative energy, regen energy",Energy returned to the drive's DC bus when a motor decelerates acting as a generator; must be dissipated or absorbed to prevent over-voltage.,shunt; bus voltage; over-voltage; deceleration; shunt regulator
Resolver,"resolver feedback, synchro resolver",A high resolution feedback device alternative to encoders using inductive coupling suited to harsh environments with typical resolution of 1000-65000 counts per revolution.,encoder; hall sensors; feedback; commutation
RM,"RS485/RS232 Model, -RM suffix",A FlexPro drive model suffix indicating the RS485/RS232 serial communication interface.,EM; CM; IPM; FlexPro; RS485
RMA,"Return Materials Authorization, RMA number",A tracking number for product returns obtained from the returns or customer service department.,support; quality
RMS,"Root Mean Square",The standard method for characterizing the average output of a cyclical function; multiplier is 0.707 for sine waves and 1 for square waves.,continuous current; peak current; power
RPDO,"Receive PDO, RxPDO",A Process Data Object received by the drive from the network master containing command data such as target position or controlword.,TPDO; PDO; PDO mapping; CANopen; EtherCAT
RS232,"RS-232, serial RS232",A point-to-point serial communication standard used for connecting a single drive to a PC for configuration and diagnostics.,RS485; baud rate; serial communication; DriveWare
RS485,"RS-485, serial RS485",A multi-drop serial communication standard supporting multiple drives on a single bus with longer cable distances than RS232.,RS232; Modbus; baud rate; serial communication; node ID
Run Away,"runaway, run-away condition",A condition that occurs when feedback is lost or inverted causing the system to detect zero velocity/position and apply full power resulting in uncontrolled motion.,feedback; fault; encoder; resolver; closed loop
S-curve,"S-curve profile, jerk-limited profile",A motion profile that limits jerk (rate of change of acceleration) to produce smooth acceleration and deceleration transitions.,trapezoidal; jerk; profile position; profile velocity
scope,"digital oscilloscope, DSO, drive scope",A software tool in ACE or DriveWare that captures and displays real-time drive signals for tuning and diagnostics.,waveform generator; ACE; DriveWare; auto-tune
SDO,"Service Data Object",A CANopen protocol for reading and writing individual object dictionary entries using confirmed client-server communication.,PDO; object dictionary; CANopen; parameter
sequence,"motion sequence, program sequence",An ordered set of motion tasks (indexes) stored in the drive that execute automatically with configurable transitions and conditions.,index; motion task; motion engine; ClickMove
Settling Time,"settle time, settling",The time required for a system to reach and stay within a specified error band of the target value after a command change.,tuning; bandwidth; critically damped; position loop
shunt,"shunt resistor, regen resistor, braking resistor",A power resistor connected to the DC bus that dissipates regenerative energy to prevent over-voltage during motor deceleration.,regen; bus voltage; over-voltage; shunt regulator
Shunt Regulator,"shunt reg, regen clamp",A device that absorbs excess voltage from a power supply to prevent overvoltage conditions during regeneration.,shunt; regen; bus voltage; over-voltage
SinCos,"Sin/Cos encoder, sine-cosine encoder, 1Vpp encoder",An analog encoder that outputs 1V peak-to-peak sine and cosine signals providing high-resolution position interpolation.,encoder; BiSS-C; EnDat; feedback; interpolation
Sinusoidal commutation,"sine commutation, FOC, field-oriented control",A commutation method using smooth transitions between states to produce sine-wave current patterns for smooth torque and low ripple.,trapezoidal commutation; commutation; BLDC; vector control; cogging
Sinking/Sourcing I/O,"sink/source, I/O polarity",I/O convention where sinking means current flows into the device and sourcing means current flows out; sinking outputs are compatible with sourcing inputs and vice versa.,digital input; digital output; positive logic; negative logic; optocoupler
SSI,"Synchronous Serial Interface",A unidirectional serial protocol for reading absolute encoder position data using a clock and data signal pair.,BiSS-C; EnDat; encoder; absolute encoder; feedback
Standby Power,"standby consumption, idle power draw",Power consumed when a servo drive is on but disabled maintaining logic and feedback operational; relevant for battery-powered systems.,quiescent power; power supply; vehicle drive
state machine,"drive state machine, CiA 402 state machine",The defined set of operational states and transitions (e.g. switch-on-disabled to operation-enabled) that govern drive behavior per DS402.,controlword; statusword; DS402; NMT; enable
